"(1, 84)",1
"(0, 145)",3
"(1, 145)",5
"(2, 64)",5
"(3, 72)",5
"(0, 101)",6
"(0, 124)",6
"(4, 47)",6
"(0, 84)",7
"(0, 143)",7
"(1, 58)",7
"(2, 43)",7
"(4, 65)",7
"(0, 37)",8
"(0, 100)",8
"(0, 126)",8
"(2, 20)",8
"(2, 78)",8
"(2, 143)",8
"(4, 57)",8
"(0, 82)",9
"(0, 114)",9
"(3, 58)",9
"(3, 66)",9
"(4, 31)",9
"(4, 94)",9
"(0, 13)",10
"(0, 21)",10
"(0, 121)",10
"(1, 100)",10
"(1, 124)",10
"(4, 105)",10
"(1, 20)",11
"(4, 62)",11
"(0, 39)",12
"(0, 60)",12
"(0, 125)",12
"(0, 129)",12
"(1, 101)",12
"(2, 12)",12
"(2, 84)",12
"(3, 21)",12
"(3, 39)",12
"(3, 129)",12
"(0, 58)",13
"(0, 71)",13
"(0, 112)",13
"(1, 72)",13
"(1, 114)",13
"(1, 143)",13
"(2, 13)",13
"(2, 48)",13
"(2, 55)",13
"(2, 126)",13
"(3, 30)",13
"(3, 114)",13
"(4, 26)",13
"(4, 34)",13
"(4, 96)",13
"(4, 116)",13
"(0, 134)",14
"(1, 21)",14
"(1, 37)",14
"(1, 43)",14
"(1, 64)",14
"(1, 121)",14
"(1, 126)",14
"(2, 109)",14
"(2, 145)",14
"(3, 100)",14
"(4, 8)",14
"(4, 95)",14
"(0, 20)",15
"(1, 66)",15
"(1, 82)",15
"(2, 40)",15
"(3, 46)",15
"(3, 84)",15
"(3, 108)",15
"(4, 89)",15
"(0, 55)",16
"(1, 13)",16
"(1, 39)",16
"(1, 60)",16
"(1, 125)",16
"(1, 129)",16
"(2, 82)",16
"(3, 124)",16
"(4, 27)",16
"(0, 12)",17
"(0, 15)",17
"(0, 41)",17
"(0, 144)",17
"(1, 71)",17
"(1, 78)",17
"(1, 112)",17
"(2, 101)",17
"(2, 134)",17
"(3, 15)",17
"(3, 144)",17
"(4, 79)",17
"(4, 90)",17
"(0, 32)",18
"(0, 43)",18
"(0, 48)",18
"(0, 64)",18
"(0, 118)",18
"(0, 142)",18
"(2, 58)",18
"(3, 113)",18
"(3, 136)",18
"(0, 10)",19
"(0, 11)",19
"(0, 72)",19
"(0, 86)",19
"(0, 109)",19
"(1, 46)",19
"(2, 80)",19
"(2, 100)",19
"(2, 124)",19
"(3, 20)",19
"(3, 22)",19
"(3, 145)",19
"(4, 91)",19
"(0, 40)",20
"(0, 44)",20
"(0, 80)",20
"(0, 102)",20
"(1, 134)",20
"(3, 43)",20
"(4, 4)",20
"(4, 9)",20
"(0, 18)",21
"(0, 19)",21
"(0, 66)",21
"(0, 78)",21
"(0, 130)",21
"(0, 147)",21
"(1, 15)",21
"(1, 108)",21
"(1, 144)",21
"(2, 23)",21
"(2, 37)",21
"(3, 2)",21
"(3, 18)",21
"(3, 50)",21
"(3, 78)",21
"(3, 86)",21
"(3, 130)",21
"(4, 61)",21
"(4, 92)",21
"(4, 146)",21
"(0, 5)",22
"(1, 55)",22
"(1, 136)",22
"(1, 142)",22
"(2, 114)",22
"(2, 120)",22
"(3, 69)",22
"(3, 85)",22
"(3, 117)",22
"(0, 76)",23
"(1, 12)",23
"(1, 41)",23
"(1, 86)",23
"(2, 21)",23
"(2, 121)",23
"(2, 137)",23
"(3, 19)",23
"(3, 71)",23
"(4, 3)",23
"(4, 17)",23
"(4, 24)",23
"(4, 36)",23
"(4, 119)",23
"(0, 1)",24
"(0, 93)",24
"(0, 117)",24
"(1, 32)",24
"(1, 44)",24
"(1, 48)",24
"(1, 102)",24
"(1, 118)",24
"(2, 6)",24
"(2, 72)",24
"(3, 93)",24
"(3, 123)",24
"(4, 111)",24
"(0, 46)",25
"(1, 10)",25
"(1, 11)",25
"(1, 18)",25
"(1, 19)",25
"(1, 50)",25
"(1, 109)",25
"(1, 130)",25
"(1, 147)",25
"(2, 39)",25
"(2, 60)",25
"(2, 125)",25
"(2, 129)",25
"(3, 74)",25
"(4, 149)",25
"(0, 23)",26
"(0, 136)",26
"(0, 138)",26
"(1, 40)",26
"(1, 80)",26
"(1, 85)",26
"(1, 117)",26
"(2, 41)",26
"(2, 66)",26
"(2, 71)",26
"(2, 112)",26
"(2, 127)",26
"(3, 1)",26
"(3, 60)",26
"(3, 64)",26
"(3, 121)",26
"(3, 138)",26
"(4, 14)",26
"(0, 6)",27
"(0, 50)",27
"(0, 97)",27
"(0, 106)",27
"(0, 108)",27
"(0, 120)",27
"(0, 148)",27
"(1, 76)",27
"(2, 32)",27
"(3, 97)",27
"(3, 106)",27
"(3, 131)",27
"(3, 148)",27
"(4, 77)",27
"(4, 81)",27
"(4, 88)",27
"(0, 137)",28
"(1, 1)",28
"(1, 5)",28
"(1, 93)",28
"(1, 113)",28
"(1, 123)",28
"(2, 52)",28
"(3, 67)",28
"(3, 101)",28
"(4, 42)",28
"(4, 104)",28
"(4, 122)",28
"(4, 128)",28
"(4, 141)",28
"(0, 56)",29
"(0, 74)",29
"(1, 30)",29
"(1, 74)",29
"(2, 118)",29
"(3, 98)",29
"(3, 112)",29
"(3, 143)",29
"(4, 59)",29
"(0, 33)",30
"(1, 138)",30
"(2, 10)",30
"(2, 15)",30
"(2, 46)",30
"(2, 144)",30
"(3, 33)",30
"(3, 37)",30
"(3, 99)",30
"(3, 102)",30
"(3, 126)",30
"(4, 139)",30
"(0, 52)",31
"(0, 127)",31
"(0, 135)",31
"(1, 22)",31
"(1, 97)",31
"(1, 106)",31
"(1, 148)",31
"(2, 136)",31
"(2, 142)",31
"(3, 82)",31
"(3, 103)",31
"(3, 135)",31
"(4, 115)",31
"(0, 85)",32
"(0, 87)",32
"(0, 99)",32
"(0, 123)",32
"(0, 132)",32
"(1, 23)",32
"(1, 69)",32
"(2, 11)",32
"(2, 28)",32
"(2, 45)",32
"(2, 86)",32
